country,description,points,price,province,region_1,variety
US,"A 100% Merlot aged 18 months in French oak, this hearty wine is rich in cinnamon toast, bittersweet chocolate and dark, black fruit. It's walled in tannins, so let it open a bit and it'll reveal subtle herbal tones.",88,45,California,Napa Valley,Merlot
US,"A 100% varietal wine aged in entirely new French oak, this is a big-bodied, grippy wine. It's slightly syrupy with ripe red fruit and a complexity of dried herb and cedar which makes it a fine representative of the relatively cooler appellation from which it comes.",92,150,California,Coombsville,Cabernet Sauvignon
US,"A 100% varietal wine coming from Block 14 of this up-and-coming vineyard, it has a lot of appeal with notes of dark-brewed coffee, chocolate, cherries and black raspberries. Aged 18 months in half new French oak, it's silky, soft, and supple, showing a lot of polish and restraint.",91,30,Washington,Wahluke Slope,Cabernet Sauvignon
US,"A 100% varietal wine entirely from the producer's Napa side of its property, this special cuvée is thick and rich in black and blue fruit, generously soft and silky on the palate with well-integrated oak. Complex and built to age, it finishes in a jolt of black pepper and licorice. Enjoy now through 2022.",94,90,California,Napa Valley,Cabernet Sauvignon
US,"A 100% varietal wine entirely from Yountville, this presents a touch of herb and cedar on the entry aromatically, followed by a thickness of tannin that softens in the glass. Big-boned, it finishes strong in tobacco and coffee.",89,45,California,Yountville,Cabernet Sauvignon
US,"A 100% varietal wine from a prime Beckstoffer vineyard in the heart of the appellation, this aged in 100% new French oak. A robust, full-throttled wine, it's smoky in tar and baked fruit that could use some time in cellar to further develop the layers of cedar and blackberry.",90,75,California,Rutherford,Cabernet Sauvignon
US,"A 100% varietal wine from grapes sourced in Coombsville, this offers cranberry, currant and clove in equal measure. This tiny-production project features tight-grained tannin and a dusty texture built around moderate acidity and body.",88,75,California,Napa Valley,Cabernet Sauvignon
US,"A 100% varietal wine from near the town of Glen Ellen, this is a healthy marriage of power and grace. The wine is fiery in leathery tannin and full-bodied blackberry ripeness laced in cinnamon and black pepper. Aged in new French oak, it's structured and age-worthy, though quite enjoyable now.",90,32,California,Sonoma Valley,Zinfandel
US,"A 100% varietal wine from one vineyard, this wine opens in cinnamon stick and blackberry jam, leading the way to chocolatey leather on the palate offset by tingling acidity. Currant, blueberry and cedar also make appearances atop a full-body and lengthy, concentrated finish.",88,90,California,Atlas Peak,Cabernet Sauvignon
US,"A 100% varietal wine from the winery property, certified organic to boot, this is classic in cedar, currant and a freshness of blackberry. Vibrant acidity on the palate balances out the tightness of new oak. It captures the dustiness known to the appellation as well.",91,90,California,Rutherford,Cabernet Sauvignon
US,"A 100% varietal wine that opens invitingly in wafts of baked bread and follows on the palate with juicy black currant and dried herb, this shows complexity and elegance in equal measure. Firm tannin girds substantial characteristics of black licorice and tobacco, with a succulent finish. Drink now through 2023.",92,125,California,Diamond Mountain District,Cabernet Franc
US,"A 100% varietal wine, on the nose this suggests a pungency of French bread, which doesn't open up for much else aromatically. On the medium-bodied palate, expect a mix of viscous honey and baked peach.",85,28,California,Sonoma Valley,Viognier
US,"A 100% varietal wine, this features big oak and dry tannins around a rustic core of full-bodied black cherry and dried plum. Savory tobacco and tea provide a sultry edge to the proceedings, before tartness comes to bear on the finish. Enjoy now through 2018.",89,34,California,Alexander Valley,Sangiovese
US,"A 100% varietal wine, this is dry and in balance, made in a bigger fuller style that presents as lush and plush on the palate. Apricot and peach offer a ripe succulence of fruit as a touch of oak integrates well into the background.",91,32,California,Napa Valley,Viognier
US,"A 100% varietal wine, this offers a juiciness of red fruit that's deliciously inviting, surrounded by plenty of cinnamon and black pepper. Grippy and full bodied, it reins in its ripeness well, remaining structured and complex through a mineral-driven finish.",90,37,California,Napa Valley,Zinfandel
US,"A 100% varietal wine, this offers upfront structure and gravelly texture, its tannins robust. The medium-bodied ripeness allows plenty of room for dried herb and cedar, accents to the bolder notions of black raspberry jam and coffee.",91,110,California,Napa Valley,Cabernet Sauvignon
US,"A 100% varietal wine, this opens in floral violet perfume, delicate notions that are soon overpowered by the chock-a-block blackberry and plum. The tannins are robust and still integrating, giving the wine a somewhat harsh feel.",86,35,California,Calistoga,Merlot
US,"A 100% varietal wine, this still has a puckering sense to the tannins, the power and weight of the wine generous and robust. Leather and banana figure into the bouquet, with the savory-laden flavors leaning toward black pepper and dark, ripe plum. This wine needs time; cellar through 2022.",91,68,California,Spring Mountain District,Merlot
US,"A 100% varietal, single-vineyard estate wine, at the top of the producer's heap, this was given almost two years in French oak, half of it new, the other half once-filled. Juicy, it offers refined layers of herb, currant and clove, making for a soft, complex and lightly spicy experience. With sizable structure and depth, it can be enjoyed now through 2022.",93,225,California,Rutherford,Cabernet Sauvignon
US,"A 100% varietal, site-specific wine from the heart of the appellation, this succeeds in a herbal persistence and lean nose. Red currant, cassis and anise wrap around thick tannins, with lingering notes of clove and cedar.",93,95,California,Rutherford,Cabernet Sauvignon
US,"A 100% varietal, this represents a tiny offering of this single-vineyard wine. Despite its youth it is silky and supple on the palate. Rich, dense black fruit and graphite marry well and find cohesion among the toasty oak.",91,75,California,Oakville,Cabernet Sauvignon
US,"A 100% Viognier that's heady in ripe pit fruit, mostly sweet peach, and accented in nutty, floral aromas. It's full-bodied and  robust, with tannins that are soft and juicy.",86,25,California,Russian River Valley,Viognier
US,"A 100-percent Cab Franc aged in all new French oak, this wine opens with aromas of vanilla and coconut, before imparting a taste of soft cassis and raspberry jam. Tightly structured, let it open for an hour or so before enjoying with roast chicken or quiche Lorraine.",87,26,California,Lodi,Cabernet Franc
US,A balance of blueberry-chiffon ripeness and asphalt tightness is enhanced by spearmint and cola notes on the nose of this blend from eastern Santa Ynez Valley. The palate shows generous black fruit against a restrained tannic frame of tobacco and cedar.,92,75,California,Happy Canyon of Santa Barbara,Bordeaux-style Red Blend
US,"A balanced aromatic show of campfire smoke, purple fruit and violet-driven florals emerges on the nose of this affordable wine from Don Sebastiani & Sons. It's a little watery on the palate, but then shows a nice array of blackberry fruit, black pepper, graphite earthiness and a vanilla finish.",85,22,California,Paso Robles,Cabernet Sauvignon
US,"A banner vintage delivers a wine with nicely delineated layers of flavor, from fleshy tropical fruit into streaks of slightly bitter-skin flavors, herb and banana cream pie. It's long, lush and deliciously lively.",90,36,Washington,Columbia Valley (WA),Chardonnay
US,"A barrel-fermented white that offers complexity and nuance, this wine is steely and fleshy in texture, integrated and fully realized. Green apple, peach and vanilla combine effortlessly to reveal compelling flavor and length. This is a food-friendly wine that can also stand well on its own.",90,30,California,Alexander Valley,Sauvignon Blanc
US,"A basic, light, veggie-flavored wine, this smells like celery and onion and tastes like zucchini.",84,10,California,California,Sauvignon Blanc
US,"A beat or two off the pace of previous vintages, the '04 is a little soft and one-dimensional. Tastes like it was baked by the heat, with jammy white and yellow fruit flavors that have a trace of bitterness.",85,48,California,Napa Valley,Chardonnay
US,"A beautiful and interesting Sauvignon Blanc that's as dry as anything out there, with no trade of unripeness. Crisp acids frame pure, clean flavors of gooseberries, citrons, limes and grapefruits, wrapped into a creamy texture. Brilliant with ceviche or by itself.",92,20,California,Napa Valley,Sauvignon Blanc
US,"A beautiful black currant character animates this classically-styled wine. It's fruity and generously spiced on the nose, with cinnamon and nutmeg scents from oak. Its flavors build on that black currant, with spice notes giving it a layered effect, supported by fine-grained tannins. While irrestible now, this will be best after 2019.",93,28,California,Livermore Valley,Cabernet Sauvignon
US,"A beautiful Cabernet that shows the promise of this Lake County appellation. Coming off the very good 2006, it shows the same dry balance, but is richer, offering graceful flavors of black currants, anise and herbs. It's quite a tannic wine that needs a rich steak to balance it.",90,28,California,Red Hills Lake County,Cabernet Sauvignon
US,"A beautiful Cabernet, this has all the hallmarks of a fine wine. It's dry, rich in tannins and elegant, with long, deep flavors of blackberries, currants and dark chocolate. It's already throwing some sediment, so give it a careful decant.",92,40,California,Sonoma Valley,Cabernet Sauvignon
US,"A beautiful Cabernet-based Bordeaux blend, albeit a very young one that would be a shame to drink too early. The score indicates its current drinkability, but that could heighten over the next 6–8 years. Shows a very firm tannic structure, with luscious black currant flavors that grow richer as the wine warms up in the glass.",91,49,California,Santa Cruz Mountains,Bordeaux-style Red Blend
US,"A beautiful Chardonnay, dry, crisp in acidity and complex in tropical and citrus fruit, peach, honey and oak flavors. The richness is balanced by a flavorful minerality, and the finish is dry. At this price, the wine can stand beside more expensive Chardonnays, which makes it a value.",90,30,California,Sonoma Coast,Chardonnay
US,"A beautiful Chardonnay, rich and ripe in fruit, yet balanced with dryness and racy acidity and a fine minerality. The pineapple and orange flavors are accented with sweet, smoky oak. Drink this luxuriously elegant wine now.",93,30,California,Russian River Valley,Chardonnay
US,"A beautiful Merlot, noble and classic. It doesn't have the stuffing for cellaring, but is absolutely lovely now, with fine, brisk tannins framing flavors of cherries, herbs and sweet oak, and a lingering finish. Easy to find, with 12,100 cases produced.",92,28,California,Napa Valley,Merlot
US,"A beautiful Merlot, soft, ripe and complex, and front-loaded with cherry, plum, chocolate macaroon and sweet tobacco flavors. Shows rich, fine Alexander tannins that will let the wine age for up to a decade.",88,28,California,Alexander Valley,Merlot
US,"A beautiful Pinot Gris that defines the drier, more elegant style in California. This 2009 is entirely consistent with past vintages from Etude, which have been superior. Shows Meyer lemon, lime, vanilla and peppery spice flavors, with a long, distinguished finish. Etude hasn't raised the price in many years. Production was 3,319 cases.",90,24,California,Carneros,Pinot Gris
US,"A beautiful Sauvignon Blanc that does everything you want with this variety. It's basically dry and crisp in acidity, with polished flavors of lemongrass, pineapple tart, vanilla, buttered toast and steely minerals. Really nice wine at a great price.",89,13,California,Suisun Valley,Sauvignon Blanc
US,"A beautiful Sauvignon Blanc that shows why this warmish Santa Barbara County valley is such a natural home for the variety. With crisp acidity and a creamy texture, it's dry and minerally, with interestingly rich flavors of citrus fruits, melons and pears, and a touch of smoky oak.",90,15,California,Santa Ynez Valley,Sauvignon Blanc
US,"A beautiful Viognier that showcases the variety's rich, exotic side. Offers a mouthburst of ripe grilled peaches, pineapples, green apples, honeysuckle and vanilla wrapped into a creamy, buttery texture. Try as an offbeat alternative to Chardonnay.",91,27,California,Napa Valley,Viognier
US,"A beautiful wine to pair with desserts based on white fruits or simple but delicious vanilla sponge cake. Made from late-harvested Chardonnay, it's very sweet in apricots, lemons, vanilla and buttered toast, with a brisk edge of acidity for balance.",91,30,California,Carneros,Chardonnay
US,"A beautiful wine, dry, complex and crisp, and easily one of the best white Rhône-style bottlings of the vintage. It shows brilliantly clean acidity that provides a brisk mouthfeel to the apricot, pineapple and pear flavors that rest on a firm ground of minerals. Great as a richer, more exotic alternative to Sauvignon Blanc.",92,28,California,Russian River Valley,Marsanne-Roussanne
US,"A beautiful wine, it shows exquisite control at balancing green, minty notes with richer flavors of apricots, Meyer lemons, vanilla and toast. The finish is dry and tart.",90,20,California,Napa Valley,Sauvignon Blanc
US,"A beautiful wine, sleek, crisp and ultra-dry, with the most refined flavors of petrol, white peach, kaffir lime, apricot skin and minerals. The acidity is very high and palate-cleansing. The wine was half fermented in barrels, half in stainless steel. Sommeliers, buy this by the case, if you can find it.",90,17,California,Santa Lucia Highlands,Riesling
US,"A beautiful wine, this is rich in citrus, tropical fruit and green apple flavors, with a smoky jacket of oak. The acids and tannins lift it above the ordinary, as does a stony minerality that tastes of the soil.",93,48,California,Green Valley,Chardonnay
US,"A beautiful Zin, dry and spicy. Shows lush, intricate flavors of blackberries, black raspberries, anise, pepper, cola and cedar. A very fine interpretation of a dusty Sonoma Zinfandel.",92,30,California,Rockpile,Zinfandel
US,"A beautiful Zinfandel from a winery with lots of know-how. The wine is medium-bodied, with a graceful structure of finely ground tannins that makes it drinkable right away. The flavors are pure mountain Zin, intense in peppery currants, cocoa and licorice.",91,29,California,Amador County,Zinfandel
US,"A beautiful, brilliant but immature Cabernet. It's massively rich in blackberry and cherry pie filling, cassis, dark chocolate and fine, smoky oak flavors, wrapped into thick but fine, sweet tannins. Shows elegance and finesse despite the power, but needs time. Best after 2014.",95,76,California,Napa Valley,Cabernet Sauvignon
US,"A beautiful, fancy Sauvignon Blanc, crisp and dry and complex. If you're looking for a California white to drink with a perfect roast chicken, it's a fine choice. Shows ripe, lush citrus, tropical fruit, peach, mineral and white flower flavors, finished with dusty cinnamon spices.",93,28,California,Rutherford,Sauvignon Blanc
US,"A beautiful, racy Chardonnay, with a streamlined structure that could almost be a fine, barrel-aged Sauvignon Blanc. It's marked by mouthwatering acidity, with savory lemongrass, hay, vanilla and white pepper flavors. First class and elegant as a cocktail sipper.",92,30,California,Santa Maria Valley,Chardonnay
US,"A beautifully accessible wine, polished, pretty and likeable now for its gentle texture and silky tannins. The sweet cherry and raspberry fruit is encircled with a coat of fancy smoked oak. Made from 100% Cabernet, the wine is balanced enough to gain bottle complexity for a decade.",92,48,California,Rutherford,Cabernet Sauvignon
US,"A beautifully rendered, light and detailed Oregon Pinot Gris, this is redolent of spring flowers and citrus peel, flavored with an elegant blend of pineapple, Asian pear, jicama and white pepper. Very fresh and spicy.",89,16,Oregon,Willamette Valley,Pinot Gris
US,"A beautifully rich and rewarding expression of tropical fruit and creamy texture, this estate white spends nine months in large French oak casks and is selected from the best lots. Supporting acidity keeps it refreshing in waves of lime and grapefruit.",92,55,California,Napa Valley,Sauvignon Blanc
US,"A beguiling wine with notes of green apple, slate and botrytis. It drinks off dry with tart, mouthwatering acidity. The concentration isn't all there throughout but there is still much to enjoy.",88,21,Oregon,Umpqua Valley,Riesling
US,"A benchmark style for Washington Riesling, this mixes stone and citrus fruits, adds highlights of wintergreen spice, hints of honeysuckle, lemon and tea, and finishes with some fruit sweetness, though the wine is essentially dry.",88,13,Washington,Columbia Valley (WA),Riesling
US,"A big Cabernet, impenetrably dark in color and tannicly closed. It has ripe, juicy blackberry, cassis liqueur and dark chocolate flavors, with a jacket of sweet, toasted oak. It needs time for those tannins to resolve, so give it a good eight years in the bottle.",92,50,California,Calistoga,Cabernet Sauvignon
US,"A big wine for Merlot, this high alcohol (14.6%) effort ramps up its black cherry fruit with volatile acidity and brings in chocolaty barrel flavors under an earthy, tannic finish. Another year or two in the bottle can only help; at this young age it seems a little blowsy and sharp.",89,30,Oregon,Columbia Valley (OR),Merlot
US,"A big, bold and beautiful Cabernet. Will appeal to those who like the California style, although Bordeauxphiles will find it too ripe and fruity. Brims with blackberries, black cherries, currants, licorice and sweet toasted oak, wrapped into firm, mountain tannins. Now–2014.",92,65,California,Spring Mountain District,Cabernet Sauvignon
US,"A big, burly, hedonistic wine, this offers layers of pronounced baked apple, pear and caramel. The oak wraps itself around in cinnamon-toast waves, with sizable power on the palate. The joy ride ends with a balanced sense of wet stone, fresh and refined.",91,60,California,Sonoma Coast,Chardonnay
US,"A big, dry wine rich in red fruit and sizable tannins, this 100% varietal, single-vineyard designated offering is buoyed by silky, fine-grained tannins that support its voluptuous nature. More savory than sweet in terms of ripeness, its flavors lean toward tobacco and black tea. Drink now through 2022.",93,125,California,Stags Leap District,Cabernet Sauvignon
US,"A big, extracted and, as currently constructed, somewhat ponderous wine that's not showing all that well. Could simply be immature, but it does seem to lack a certain vibrancy. Other than that, it's powerful in blackberry, black cherry and oak flavors, accompanied by strong tannins. Could surprise after, say, 2014.",89,90,California,St. Helena,Cabernet Sauvignon
US,"A big, flashy wine that's fabulously rich in flavors of pineapple, orange and lemon custard, and liberally accented with the crème brûlée and vanilla from it's time in new French oak. Fresh acidity, minerality from the soil and a dry finish bring an elegant touch to this ripe Chardonnay.",92,40,California,Santa Lucia Highlands,Chardonnay
US,"A big, fruity Cabernet that hardly shows a day of age at nearly six years. It's still rich and ripe in blackberry, blueberry and cherry jam flavors. Drink up.",86,25,California,Napa Valley,Cabernet Sauvignon
US,"A big, in your face Zin, with concentrated blackberry jam, currant and espresso flavors along with some overripe raisin and prune notes. High alcohol gives a burn to the palate and the tannins are bitter. Drink now.",85,35,California,Napa Valley,Zinfandel
US,"A big, juicy, fruit-bomb of a rosé, this Knight's Gambit from Erath mixes flavors of rosewater, watermelon, strawberries and cocoa in a big, broad, forward, palate-pleasing wine. The pretty pink color is from skin contact with the Pinot Gris—no red wine was added.",88,22,Oregon,Dundee Hills,Pinot Gris
US,"A big, rich, thick Zinfandel, jammy in raspberries, blackberries and cherries, with a bubblegum gassiness. Drink now with burgers, ribs, pasta marinara.",84,12,California,California,Zinfandel
US,"A big, soft and expressive wine, this will appeal to a wide range of palates with its fair price and easygoing tannins and integrated oak. Between the juicy blackberry and blueberry, hits of espresso take it to more luxurious places.",88,25,California,Napa Valley,Merlot
US,"A big, vital and important Cabernet that deserves a place in the cellar. It hits the mouth with huge tannins that are tight and locked down, yet sweetly ripe. That contradiction persists throughout the fantastically complex blackberry, cherry, currant and mocha flavors. A very fine, superior wine that exemplifies the Stags Leap iron fist in a velvet glove. As delicious as it is, you should hold this Cabernet for a good six years, and it could easily develop for an additional decade.",96,89,California,Stags Leap District,Cabernet Sauvignon
US,"A big, vital wine, mouth-filling and dense, with plenty of weight and volume, and deep flavors of earth, chocolate, blackberry and sweet currant. The cool '09 vintage has resulted in this version of Cask 23 being lighter in alcohol and tighter than others like the 2008. It's not quite as fat or immediately accessible as those vintages, but it is very fine, and should reward at least 10 years in the cellar, although you can certainly drink it now after a few hours in the decanter.",94,210,California,Napa Valley,Cabernet Sauvignon
US,"A big-shouldered red made predominantly of Cabernet Sauvignon with a balance of Merlot, Cabernet Franc and Petit Verdot, this wine offers bold, firm tannins and heaps of body. Blackberry, chocolate mocha and clove flavors meet crayon and graphite notes in a mashup of classic and ripe styles.",92,95,California,Howell Mountain,Bordeaux-style Red Blend
US,"A bit disjointed, with acidity sticking out, and the fruit tending toward jammy blackberries, raspberries and nectarines, leading to sharpness in the finish. Could mellow and improve in a couple years.",87,65,California,Alexander Valley,Cabernet Sauvignon
US,"A bit earthy. One hundred percent new oak dominates the jammy black cherry, violet and herb flavors. Feels somewhat tired, even though it's only three-plus years old.",87,80,California,Rutherford,Cabernet Sauvignon
US,"A bit firmer and more powerful than the producer's regular bottling, the Vintner's Select boasts a core of black cherry and cassis accented by shades of bramble and forest floor. Rich, rounded and full bodied, it's balanced by a streak of cranberry acidity and lingering notes of anise.",89,45,New York,North Fork of Long Island,Merlot
US,"A bit harsh in acids and sharp tannins, this Merlot offers earthy, herbal cherry and currant flavors, rounded off with smoky oak influences. Drink now.",84,29,California,Bennett Valley,Merlot
US,"A bit heavy and soft, although it's nicely dry, with good tannins. The cherry flavors are mixed with herbs, with a touch of smoky oak.",83,10,California,California,Merlot
US,"A bit herbal and earthy, with some green tannins, this 100% Cab was mostly grown in the Mayacamas Mountains overlooking Sonoma Valley. It's dry and soft, with suggestions of cherries, blackberries and currants.",86,39,California,Sonoma Valley,Cabernet Sauvignon
US,"A bit murky, the herbal and spicy flavors of Malbec are softened into a smooth but diffuse wine, with a plastic note in the finish.",84,20,Washington,Rattlesnake Hills,Malbec
US,"A bit on the green, feline side, but with enough lemon and lime and sweet oak influences to give it richness. The acidity is wonderful, like biting into a fresh Granny Smith apple.",85,20,California,Russian River Valley,Sauvignon Blanc
US,"A bit on the lean side, with apple and citrus flavors, which are typical of the appellation. Acidity is also sharp and mouth-watering. This is not a big, fat Chardonnay but it is a well-structured, foodworthy wine, with oaky influences. This tight structure is very clean.",90,38,California,Napa Valley,Chardonnay
US,"A bit on the light-bodied side, but nice and dry, with plenty of personality. The flavors are of briary, brambly wild blackberries, raspberries and blueberries, dusted with black pepper and cinnamon.",86,20,California,Paso Robles,Zinfandel
US,"A bit on the sugary side, making it not truly dry, but adequate acidity provides balance to the very rich pineapple, pear, fig and honeysuckle flavors. Great with Vietnamese or Chinese fare.",84,22,California,Russian River Valley,Sauvignon Blanc
US,"A bit quick on the finish, but otherwise a nice everyday Chardonnay. Shows a soft, buttercream texture, with dry, subtle flavors of pineapples, pears and buttered toast.",85,13,California,Alexander Valley,Chardonnay
US,"A bit rough and angular, with a jagged tannic structure that suggests not all the grapes were completely ripe. With blackberry, cherry and mint flavors, the wine is at its best now.",84,39,California,Napa Valley,Cabernet Sauvignon
US,"A bit rugged in texture, with some jagged tannins, but the blackberry and cherry fruit is just fine, and the finish is dry and complex. Decant this young wine for a few hours to take the edge off.",87,28,California,Napa Valley,Merlot
US,"A bit rugged, with some unripeness, but otherwise a solid Cabernet, drily tannic and clean. The blackberry jam and oak flavors are pleasant.",87,40,California,Napa Valley,Cabernet Sauvignon
US,"A bit rustic and heavy, with extracted jammy fruit but lacking a certain vivacity and sharpness in the mouth. Good enough for the price. Production was 12,500 cases.",86,19,California,Sonoma County,Zinfandel
US,"A bit rustic and rowdy, in the way of Malbec, with big, edgy tannins and a scour of acidity. Whatever elegance it lacks, it makes up for in the sheer power of its blackberry and coffee fruit flavors. Will probably age forever, gradually mellowing and sweetening, without ever showing much complexity.",87,42,California,Sonoma Valley,Malbec
US,"A bit shy on the nose, this eventually shows red currants and sour plum-skin aromas. The palate is also reluctant at first, with purple fruit and black-pepper flavors.",85,48,California,Central Coast,Cabernet Sauvignon
US,"A bit simple, but definitely not shy on flavor, bursting with melon and pear fruit. It's an attempt at an Alsatian style, full and weighty in the mouth, and showing a trace of heat on the finish.",87,18,California,Sonoma County,Pinot Gris
US,"A bit sweet and rugged, with jammy blackberry, currant and pepper spice flavors wrapped into firm tannins. Shows Zin's briary, brambly character.",85,36,California,Paso Robles,Zinfandel
US,"A bit thin and acidic, but charming for its dryness and firm tannins, which call for rich, marbled beef. The pepper-inspired blackberry and cassis flavors are fine. Not an ager, but will benefit from a few hours of decanting.",87,30,California,California,Zinfandel
US,"A bit too brittle and tart to earn a higher score. Could be bottle shock, but it's hard to tell. Tasted in May, the wine showed mint-infused cherry flavors and turned sharp on the finish. Made from 100% Grenache.",85,32,California,Santa Ynez Valley,Grenache
US,"A bit too soft for complete balance, but there's no denying the delicious Zinny flavors. Floods the mouth with peppery, spicy wild blackberries, red currants, licorice and beef jerky, all wrapped into firm, dry tannins. Drink now.",89,39,California,Sonoma County,Zinfandel
US,"A bit unripe, with some vegetal flavors along with the blackberries. There's also a lot of sweet heat from high alcohol.",82,18,California,Paso Robles,Zinfandel
US,"A bit weedy in the nose, with notes of pepper and salsa. The flavor profile runs sour, with rhubarb and pie cherries sticking out. The mouthfeel is where the wine suffers most; it's hard and aggressive, with piercing tannins and acids that combine forces to starch out your palate and cheeks.",82,21,Washington,Columbia Valley (WA),Cabernet Sauvignon
US,"A bizarre wine weird-aromas and flavors. Smells smoky-sweet, like cotton candy, with mint and peach puree, and has similar flavors. Hard to tell if it's dry or sweet.",82,18,California,Livermore Valley,Chardonnay
US,"A blast of spice, mint, bramble and pepper explodes from the glass. The wine is dense, dark, deep and mysterious; the flavors pungent, penetrating and persistent. Tannic, layered with herbs and spices, powered with big, punchy fruit. This is classic Cline.",93,28,California,Contra Costa County,Zinfandel
US,"A blend of 52% Merlot, 30% Cabernet Sauvignon, 12% Cabernet Franc and 6% Petit Verdot, this wine is aromatically brooding with notes of coffee, mineral, flowers and cherry. The palate boasts abundant coffee and cherry flavors backed by firm tannins that need time in the cellar to stretch their legs. Best after 2021, with a long life ahead of it.",92,48,Washington,Walla Walla Valley (WA),Bordeaux-style Red Blend
US,"A blend of 55% Cabernet Sauvignon, 20% Merlot, 15% Malbec and 10% Petit Verdot, this reflects a pleasing mixture of each, with notes of blackberry, raspberry, plum and fresh herbs. Fruit flavors are plush and up front backed by chewy tannins.",89,25,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
US,"A blend of 61% Cabernet Franc and 39% Merlot, this has scents of black fruit and green bell pepper that are characteristic of many Bordeaux-style blends, with underpinnings of savory spice and char. The full-bodied palate has a soft, chocolaty core, boasting medium-grained tannins and easy acids that lend enough lift.",86,25,Virginia,Virginia,Bordeaux-style Red Blend
US,"A blend of 68% Cabernet Sauvignon and 32% Merlot, this offers aromas of high-toned red fruit, French-oak spice and herbs that lead to luxurious but still in-check dark-fruit flavors. Tart black-tea accents persist on the finish.",90,20,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
US,"A blend of 75% Cabernet Franc, 17% Cabernet Sauvignon, 8% Petit Verdot, this features scorched herb, tar, leather and dark cherry aromas. It's a graceful, medium-weight wine, endowed with polished tannins and pliant acids.",86,38,Virginia,Virginia,Cabernet Franc
US,"A blend of 75% Cabernet Sauvignon and 25% Cabernet Franc from a sweet vineyard spot near Dalle Valle, this is a lovely, softly textured wine. Shy on the nose yet powerful on the palate, it offers a burst of tightly wound tannin and leather at the fore. Chocolate and dried herb with a layering of black licorice give it a dark complexion and build. Be sure to mellow it in the cellar, through 2022.",92,100,California,Napa Valley,Cabernet Sauvignon
US,"A blend of 85% Cabernet Sauvignon with 15% Merlot, this was built to be approachable young. Grapes are sourced from an estate, organically farmed vineyard as well as two neighboring properties, Pickberry and Murray Ranch. Tobacco forms around a juiciness of blackberry and raspberry, giving it a sultry edge, while maintaing soft tannins throughout.",90,40,California,Sonoma Mountain,Cabernet Sauvignon
US,"A blend of 85% Merlot, 10% Syrah, 5% Cabernet Sauvignon, this has an oxidative aroma that overrides the scents of cassis, blackberry, spiced mocha and vanilla. The medium-bodied palate feels soft and malleable, and it comes with a raisin-like edge. Finishes a bit short.",83,18,New Mexico,New Mexico,Merlot
